indicator,indicator_description,indicator_source,demographic,demographic_description,time_description,time_period,value_description,value,term_description,upper_term,lower_term
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),60-64,Age group,Calendar year ending in,2019,Percent,58.2,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),60-64,Age group,Calendar year ending in,2020,Percent,57.3,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),60-64,Age group,Calendar year ending in,2021,Percent,56,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),60-64,Age group,Calendar year ending in,2022,Percent,54.7,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),60-64,Age group,Calendar year ending in,2023,Percent,53.1,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),65-69,Age group,Calendar year ending in,2019,Percent,63.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),65-69,Age group,Calendar year ending in,2020,Percent,62.9,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),65-69,Age group,Calendar year ending in,2021,Percent,61.6,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),65-69,Age group,Calendar year ending in,2022,Percent,60,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),65-69,Age group,Calendar year ending in,2023,Percent,57.8,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),70-74,Age group,Calendar year ending in,2019,Percent,66.5,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),70-74,Age group,Calendar year ending in,2020,Percent,66,NA,NA,NA
Bowel Screening,"Two-year bowel screening coverage, people aged 60-74 years",National Screening Unit (Health NZ),70-74,Age group,Calendar year ending in,2021,Percent,64.9,NA,NA,NA
